id,accuracy_order,social_media_post_removed,social_media_post_flagged,age,gender,education,household_income,race,weight,hispanic,party_id,party_id_dem,party_id_rep,headline_order,remove,censorship,accuracy,harm,headline,headline_orientation,headline_pro_dem,headline_pro_rep,accuracy_binary,social_media_most_common_newsformat,political_interest,aligned
1,1,0,0,77,0,2,2,White,1.0419,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_3,pro_rep,0,1,0,0,3,0
1,1,0,0,77,0,2,2,White,1.0419,0,Democrat,1,0,1,1,0,2,1,headline_pro_dem_7,pro_dem,1,0,0,0,3,1
2,0,0,0,75,1,2,4,Non-White,0.4956,0,Democrat,1,0,0,0,1,3,0,headline_pro_rep_6,pro_rep,0,1,1,0,2.25,0
2,0,0,0,75,1,2,4,Non-White,0.4956,0,Democrat,1,0,1,0,0,1,0,headline_pro_dem_1,pro_dem,1,0,0,0,2.25,1
3,0,NA,NA,59,1,2,5,Non-White,0.6975,0,Republican,0,1,0,0,1,2,0,headline_pro_dem_4,pro_dem,1,0,0,0,2,0
3,0,NA,NA,59,1,2,5,Non-White,0.6975,0,Republican,0,1,1,0,0,3,0,headline_pro_rep_5,pro_rep,0,1,1,0,2,1
4,0,0,0,47,0,3,4,Non-White,0.1909,0,Democrat,1,0,0,0,1,2,0,headline_pro_rep_7,pro_rep,0,1,0,0,1.5,0
4,0,0,0,47,0,3,4,Non-White,0.1909,0,Democrat,1,0,1,0,1,2,0,headline_pro_dem_4,pro_dem,1,0,0,0,1.5,1
5,0,0,0,58,1,2,4,Non-White,0.6774,0,Democrat,1,0,0,0,0,4,0,headline_pro_dem_8,pro_dem,1,0,1,0,3,1
5,0,0,0,58,1,2,4,Non-White,0.6774,0,Democrat,1,0,1,1,0,1,0,headline_pro_rep_3,pro_rep,0,1,0,0,3,0
6,1,0,0,59,0,3,6,Non-White,0.9392,0,Democrat,1,0,0,1,0,2,0,headline_pro_rep_7,pro_rep,0,1,0,0,2,0
6,1,0,0,59,0,3,6,Non-White,0.9392,0,Democrat,1,0,1,0,0,3,0,headline_pro_dem_2,pro_dem,1,0,1,0,2,1
7,0,1,1,53,1,3,3,White,1.3216,0,Republican,0,1,0,0,1,4,0,headline_pro_dem_6,pro_dem,1,0,1,1,2.5,0
7,0,1,1,53,1,3,3,White,1.3216,0,Republican,0,1,1,0,1,4,0,headline_pro_rep_3,pro_rep,0,1,1,1,2.5,1
