"","id","accuracy_order","social_media_post_removed","social_media_post_flagged","age","gender","education","household_income","race","weight","hispanic","party_id","party_id_dem","party_id_rep","headline_order","remove","censorship","accuracy","harm","headline","headline_orientation","headline_pro_dem","headline_pro_rep","accuracy_binary","social_media_most_common_newsformat","political_interest","aligned"
"1","1",1,0,0,77,0,2,2,"White",1.0419,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_3","pro_rep",0,1,0,0,3,0
"2","1",1,0,0,77,0,2,2,"White",1.0419,0,"Democrat",1,0,1,1,0,2,1,"headline_pro_dem_7","pro_dem",1,0,0,0,3,1
"3","2",0,0,0,75,1,2,4,"Non-White",0.4956,0,"Democrat",1,0,0,0,1,3,0,"headline_pro_rep_6","pro_rep",0,1,1,0,2.25,0
"4","2",0,0,0,75,1,2,4,"Non-White",0.4956,0,"Democrat",1,0,1,0,0,1,0,"headline_pro_dem_1","pro_dem",1,0,0,0,2.25,1
"5","3",0,0,0,59,1,2,5,"Non-White",0.6975,0,"Republican",0,1,0,0,1,2,0,"headline_pro_dem_4","pro_dem",1,0,0,0,2,0
"6","3",0,0,0,59,1,2,5,"Non-White",0.6975,0,"Republican",0,1,1,0,1,3,0,"headline_pro_rep_5","pro_rep",0,1,1,0,2,1
"7","4",0,0,0,47,0,3,4,"Non-White",0.1909,0,"Democrat",1,0,0,0,1,2,0,"headline_pro_rep_7","pro_rep",0,1,0,0,1.5,0
"8","4",0,0,0,47,0,3,4,"Non-White",0.1909,0,"Democrat",1,0,1,0,1,2,0,"headline_pro_dem_4","pro_dem",1,0,0,0,1.5,1
"9","5",0,0,0,58,1,2,4,"Non-White",0.6774,0,"Democrat",1,0,0,0,0,4,0,"headline_pro_dem_8","pro_dem",1,0,1,0,3,1
"10","5",0,0,0,58,1,2,4,"Non-White",0.6774,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_rep_3","pro_rep",0,1,0,0,3,0
"11","6",1,0,0,59,0,3,6,"Non-White",0.9392,0,"Democrat",1,0,0,1,0,2,0,"headline_pro_rep_7","pro_rep",0,1,0,0,2,0
"12","6",1,0,0,59,0,3,6,"Non-White",0.9392,0,"Democrat",1,0,1,0,0,3,0,"headline_pro_dem_2","pro_dem",1,0,1,0,2,1
"13","7",0,1,1,53,1,3,3,"White",1.3216,0,"Republican",0,1,0,0,1,4,0,"headline_pro_dem_6","pro_dem",1,0,1,1,2.5,0
"14","7",0,1,1,53,1,3,3,"White",1.3216,0,"Republican",0,1,1,0,1,4,0,"headline_pro_rep_3","pro_rep",0,1,1,1,2.5,1
"15","8",0,0,0,53,1,3,5,"White",1.5007,0,"Republican",0,1,0,0,1,4,0,"headline_pro_dem_3","pro_dem",1,0,1,0,2.75,0
"16","8",0,0,0,53,1,3,5,"White",1.5007,0,"Republican",0,1,1,0,1,1,0,"headline_pro_rep_6","pro_rep",0,1,0,0,2.75,1
"17","9",1,0,0,64,1,5,6,"Non-White",0.1291,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_dem_8","pro_dem",1,0,0,0,2.75,1
"18","9",1,0,0,64,1,5,6,"Non-White",0.1291,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_rep_3","pro_rep",0,1,0,0,2.75,0
"19","10",0,1,1,79,1,3,3,"White",1.1147,0,"Republican",0,1,0,1,1,2,0,"headline_pro_rep_3","pro_rep",0,1,0,0,4,1
"20","10",0,1,1,79,1,3,3,"White",1.1147,0,"Republican",0,1,1,0,1,2,0,"headline_pro_dem_5","pro_dem",1,0,0,0,4,0
"21","11",1,0,0,52,1,4,6,"White",1.333,0,"Republican",0,1,0,1,0,2,1,"headline_pro_rep_1","pro_rep",0,1,0,0,4,1
"22","11",1,0,0,52,1,4,6,"White",1.333,0,"Republican",0,1,1,0,1,2,1,"headline_pro_dem_1","pro_dem",1,0,0,0,4,0
"23","12",0,0,0,55,1,3,7,"White",1.6778,0,"Republican",0,1,0,0,1,2,0,"headline_pro_rep_6","pro_rep",0,1,0,0,2.25,1
"24","12",0,0,0,55,1,3,7,"White",1.6778,0,"Republican",0,1,1,0,0,3,0,"headline_pro_dem_6","pro_dem",1,0,1,0,2.25,0
"25","13",0,0,0,60,0,5,7,"Non-White",0.3009,0,"Democrat",1,0,0,1,1,3,0,"headline_pro_dem_6","pro_dem",1,0,1,0,3,1
"26","13",0,0,0,60,0,5,7,"Non-White",0.3009,0,"Democrat",1,0,1,0,1,3,0,"headline_pro_rep_1","pro_rep",0,1,1,0,3,0
"27","14",1,0,0,72,0,4,4,"White",0.8528,0,"Republican",0,1,0,0,1,3,0,"headline_pro_rep_1","pro_rep",0,1,1,0,3.75,1
"28","14",1,0,0,72,0,4,4,"White",0.8528,0,"Republican",0,1,1,0,1,2,0,"headline_pro_dem_1","pro_dem",1,0,0,0,3.75,0
"29","15",1,0,0,66,1,2,3,"White",1.2008,0,"Republican",0,1,0,1,0,2,1,"headline_pro_rep_7","pro_rep",0,1,0,0,1.5,1
"30","15",1,0,0,66,1,2,3,"White",1.2008,0,"Republican",0,1,1,1,1,2,0,"headline_pro_dem_4","pro_dem",1,0,0,0,1.5,0
"31","16",0,0,0,58,1,3,7,"White",1.6966,0,"Republican",0,1,0,0,1,1,1,"headline_pro_dem_6","pro_dem",1,0,0,0,2,0
"32","16",0,0,0,58,1,3,7,"White",1.6966,0,"Republican",0,1,1,0,1,1,1,"headline_pro_rep_2","pro_rep",0,1,0,0,2,1
"33","17",1,0,0,81,0,4,6,"White",0.9924,0,"Republican",0,1,0,1,0,2,0,"headline_pro_dem_9","pro_dem",1,0,0,0,3,0
"34","17",1,0,0,81,0,4,6,"White",0.9924,0,"Republican",0,1,1,1,0,1,0,"headline_pro_rep_7","pro_rep",0,1,0,0,3,1
"35","18",0,1,1,79,1,4,3,"White",0.886,0,"Republican",0,1,0,0,1,4,0,"headline_pro_rep_6","pro_rep",0,1,1,0,2.75,1
"36","18",0,1,1,79,1,4,3,"White",0.886,0,"Republican",0,1,1,0,1,3,0,"headline_pro_dem_9","pro_dem",1,0,1,0,2.75,0
"37","19",1,0,0,71,0,4,6,"White",0.9924,0,"Republican",0,1,0,1,0,2,1,"headline_pro_rep_3","pro_rep",0,1,0,0,3,1
"38","19",1,0,0,71,0,4,6,"White",0.9924,0,"Republican",0,1,1,1,1,2,1,"headline_pro_dem_9","pro_dem",1,0,0,0,3,0
"39","20",1,0,0,52,1,4,6,"White",1.458,0,"Republican",0,1,0,0,1,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,2.75,1
"40","20",1,0,0,52,1,4,6,"White",1.458,0,"Republican",0,1,1,0,1,1,0,"headline_pro_dem_5","pro_dem",1,0,0,1,2.75,0
"41","21",1,0,0,72,0,2,4,"White",1.2584,0,"Republican",0,1,0,1,0,2,0,"headline_pro_dem_9","pro_dem",1,0,0,0,2.5,0
"42","21",1,0,0,72,0,2,4,"White",1.2584,0,"Republican",0,1,1,1,1,3,1,"headline_pro_rep_6","pro_rep",0,1,1,0,2.5,1
"43","22",0,0,0,82,1,3,4,"Non-White",0.4001,0,"Democrat",1,0,0,1,0,2,0,"headline_pro_dem_8","pro_dem",1,0,0,0,2.75,1
"44","22",0,0,0,82,1,3,4,"Non-White",0.4001,0,"Democrat",1,0,1,0,0,2,0,"headline_pro_rep_9","pro_rep",0,1,0,0,2.75,0
"45","23",0,0,0,59,1,3,5,"Non-White",0.5706,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_dem_6","pro_dem",1,0,0,0,3,1
"46","23",0,0,0,59,1,3,5,"Non-White",0.5706,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_rep_4","pro_rep",0,1,0,0,3,0
"47","24",1,0,0,48,1,5,6,"Non-White",0.3392,0,"Democrat",1,0,0,0,0,1,0,"headline_pro_dem_7","pro_dem",1,0,0,0,2.75,1
"48","24",1,0,0,48,1,5,6,"Non-White",0.3392,0,"Democrat",1,0,1,0,0,1,0,"headline_pro_rep_5","pro_rep",0,1,0,0,2.75,0
"49","25",1,0,0,51,0,1,7,"White",1.0575,1,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_4","pro_rep",0,1,0,0,3,0
"50","25",1,0,0,51,0,1,7,"White",1.0575,1,"Democrat",1,0,1,0,0,3,1,"headline_pro_dem_3","pro_dem",1,0,1,0,3,1
"51","26",1,0,0,63,1,5,4,"Non-White",0.1291,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_9","pro_rep",0,1,0,0,3.5,0
"52","26",1,0,0,63,1,5,4,"Non-White",0.1291,0,"Democrat",1,0,1,0,0,1,1,"headline_pro_dem_6","pro_dem",1,0,0,0,3.5,1
"53","27",1,0,0,40,1,4,6,"White",1.406,0,"Democrat",1,0,0,1,0,1,0,"headline_pro_rep_1","pro_rep",0,1,0,0,2.75,0
